test_type,param_name,param_value,final_nodes,accuracy,total_time,compression_ratio,reduce_ratio,level,search_ratio,notes
reduce_ratio_sweep,reduce_ratio,2,1169,0.794,143.624,2.31,2,default,12,"level=default"
reduce_ratio_sweep,reduce_ratio,3,519,0.796,54.452,5.21,3,default,12,"level=default"
reduce_ratio_sweep,reduce_ratio,4,519,0.8,54.415,5.21,4,default,12,"level=default"
reduce_ratio_sweep,reduce_ratio,5,519,0.802,54.239,5.21,5,default,12,"level=default"
reduce_ratio_sweep,reduce_ratio,6,218,0.799,15.841,12.42,6,default,12,"level=default"
reduce_ratio_sweep,reduce_ratio,7,218,0.794,17.079,12.42,7,default,12,"level=default"
reduce_ratio_sweep,reduce_ratio,8,218,0.793,15.851,12.42,8,default,12,"level=default"
reduce_ratio_sweep,reduce_ratio,9,218,0.795,16.035,12.42,9,default,12,"level=default"
reduce_ratio_sweep,reduce_ratio,10,218,0.799,15.982,12.42,10,default,12,"level=default"
reduce_ratio_sweep,reduce_ratio,12,218,0.798,15.886,12.42,12,default,12,"level=default"
reduce_ratio_sweep,reduce_ratio,15,100,0.769,5.947,27.08,15,default,12,"level=default"
reduce_ratio_sweep,reduce_ratio,20,100,0.771,5.964,27.08,20,default,12,"level=default"
level_sweep,level,1,1169,0.794,144.271,2.31,default,1,12,"reduce_ratio=default"
level_sweep,level,2,1169,0.8,138.112,2.31,default,2,12,"reduce_ratio=default"
level_sweep,level,3,1169,0.796,139.199,2.31,default,3,12,"reduce_ratio=default"
level_sweep,level,4,1169,0.797,142.277,2.31,default,4,12,"reduce_ratio=default"
level_sweep,level,5,1169,0.795,138.941,2.31,default,5,12,"reduce_ratio=default"
level_sweep,level,6,1169,0.793,142.453,2.31,default,6,12,"reduce_ratio=default"
level_sweep,level,7,1169,0.791,139.276,2.31,default,7,12,"reduce_ratio=default"
level_sweep,level,8,1169,0.793,144.255,2.31,default,8,12,"reduce_ratio=default"
level_sweep,level,9,1169,0.793,146.184,2.31,default,9,12,"reduce_ratio=default"
level_sweep,level,10,1169,0.792,145.592,2.31,default,10,12,"reduce_ratio=default"
cross_product,reduce_ratio_2_level_1,2_1,1169,0.795,144.076,2.31,2,1,12,"GraphZoom-1_candidate_1"
cross_product,reduce_ratio_2_level_2,2_2,1169,0.793,142.678,2.31,2,2,12,"GraphZoom-2_candidate_1"
cross_product,reduce_ratio_2_level_3,2_3,1169,0.796,139.647,2.31,2,3,12,"GraphZoom-3_candidate_1"
cross_product,reduce_ratio_3_level_1,3_1,519,0.802,56.026,5.21,3,1,12,"GraphZoom-1_candidate_2"
cross_product,reduce_ratio_3_level_2,3_2,519,0.799,54.895,5.21,3,2,12,"GraphZoom-2_candidate_2"
cross_product,reduce_ratio_3_level_3,3_3,519,0.799,55.475,5.21,3,3,12,"GraphZoom-3_candidate_2"
cross_product,reduce_ratio_4_level_1,4_1,519,0.795,52.626,5.21,4,1,12,"GraphZoom-1_candidate_3"
cross_product,reduce_ratio_4_level_2,4_2,519,0.804,55.275,5.21,4,2,12,"GraphZoom-2_candidate_3"
cross_product,reduce_ratio_4_level_3,4_3,519,0.797,55.232,5.21,4,3,12,"GraphZoom-3_candidate_3"
cross_product,reduce_ratio_6_level_1,6_1,218,0.806,16.267,12.42,6,1,12,"reduce_6_level_1"
cross_product,reduce_ratio_6_level_2,6_2,218,0.8,16.720,12.42,6,2,12,"reduce_6_level_2"
cross_product,reduce_ratio_6_level_3,6_3,218,0.793,16.515,12.42,6,3,12,"reduce_6_level_3"
search_ratio_impact,search_ratio,4,566,0.774,58.648,4.78,3,2,4,"reduce_ratio=3,level=2"
search_ratio_impact,search_ratio,8,584,0.786,63.830,4.63,3,2,8,"reduce_ratio=3,level=2"
search_ratio_impact,search_ratio,12,519,0.802,55.112,5.21,3,2,12,"reduce_ratio=3,level=2"
search_ratio_impact,search_ratio,16,519,0.808,55.914,5.21,3,2,16,"reduce_ratio=3,level=2"
search_ratio_impact,search_ratio,20,519,0.797,57.154,5.21,3,2,20,"reduce_ratio=3,level=2"
search_ratio_impact,search_ratio,24,519,0.805,54.471,5.21,3,2,24,"reduce_ratio=3,level=2"
reproduction_attempt,paper_reproduction,attempt_graphzoom_1_default_params,1169,0.793,143.065,2.31,default,1,12,"attempt_graphzoom_1_default_params"
reproduction_attempt,paper_reproduction,attempt_graphzoom_2_default_params,1169,0.796,142.801,2.31,default,2,12,"attempt_graphzoom_2_default_params"
reproduction_attempt,paper_reproduction,attempt_graphzoom_3_default_params,1169,0.796,143.265,2.31,default,3,12,"attempt_graphzoom_3_default_params"
reproduction_attempt,paper_reproduction,attempt_graphzoom_reduce_2,1169,0.795,139.066,2.31,2,default,12,"attempt_graphzoom_reduce_2"
reproduction_attempt,paper_reproduction,attempt_graphzoom_reduce_3,519,0.801,56.004,5.21,3,default,12,"attempt_graphzoom_reduce_3"
reproduction_attempt,paper_reproduction,attempt_graphzoom_reduce_4,519,0.799,54.616,5.21,4,default,12,"attempt_graphzoom_reduce_4"
