experiment,dataset,coarsening,embedding,accuracy,total_time,fusion_time,reduction_time,embedding_time,refinement_time,parameters
cora_simple_deepwalk,cora,simple,deepwalk,0.769,209.374,1.258,0.401,207.702,0.014,
cora_cmg_default_deepwalk,cora,cmg,deepwalk,,,,,,,--cmg_k 10 --cmg_d 20 --cmg_threshold 0.1
cora_simple_node2vec,cora,simple,node2vec,0.782,108.125,1.091,0.455,106.569,0.011,
cora_cmg_default_node2vec,cora,cmg,node2vec,0.766,65.800,1.379,1.256,63.148,0.018,--cmg_k 10 --cmg_d 20 --cmg_threshold 0.1
citeseer_simple_deepwalk,citeseer,simple,deepwalk,0.508,243.248,0.675,0.169,242.391,0.013,
citeseer_cmg_default_deepwalk,citeseer,cmg,deepwalk,0.503,165.349,1.611,1.572,162.146,0.019,--cmg_k 10 --cmg_d 20 --cmg_threshold 0.1
citeseer_simple_node2vec,citeseer,simple,node2vec,0.499,106.246,0.908,0.164,105.165,0.009,
citeseer_cmg_default_node2vec,citeseer,cmg,node2vec,0.501,76.234,1.706,1.252,73.265,0.012,--cmg_k 10 --cmg_d 20 --cmg_threshold 0.1
pubmed_simple_deepwalk,pubmed,simple,deepwalk,0.748,2248.075,7.794,2.330,2237.848,0.104,
pubmed_cmg_default_deepwalk,pubmed,cmg,deepwalk,0.761,1046.453,24.079,23.883,998.379,0.111,--cmg_k 10 --cmg_d 20 --cmg_threshold 0.1
pubmed_simple_node2vec,pubmed,simple,node2vec,0.787,1080.386,10.203,1.986,1068.139,0.059,
pubmed_cmg_default_node2vec,pubmed,cmg,node2vec,0.777,501.763,24.959,19.136,457.569,0.099,--cmg_k 10 --cmg_d 20 --cmg_threshold 0.1
cora_cmg_k5_deepwalk,cora,cmg,deepwalk,0.769,129.266,1.546,1.352,126.352,0.015,--cmg_k 5 --cmg_d 20 --cmg_threshold 0.1
cora_cmg_k10_deepwalk,cora,cmg,deepwalk,0.771,124.573,1.536,1.390,121.634,0.013,--cmg_k 10 --cmg_d 20 --cmg_threshold 0.1
cora_cmg_k15_deepwalk,cora,cmg,deepwalk,0.759,122.313,1.546,1.382,119.372,0.013,--cmg_k 15 --cmg_d 20 --cmg_threshold 0.1
cora_cmg_k20_deepwalk,cora,cmg,deepwalk,0.763,117.400,1.563,1.379,114.445,0.014,--cmg_k 20 --cmg_d 20 --cmg_threshold 0.1
cora_cmg_k25_deepwalk,cora,cmg,deepwalk,0.749,116.493,1.545,1.394,113.542,0.012,--cmg_k 25 --cmg_d 20 --cmg_threshold 0.1
cora_cmg_d10_deepwalk,cora,cmg,deepwalk,0.782,114.524,1.450,1.359,111.701,0.014,--cmg_k 10 --cmg_d 10 --cmg_threshold 0.1
cora_cmg_d20_deepwalk,cora,cmg,deepwalk,0.776,118.328,1.605,1.240,115.468,0.015,--cmg_k 10 --cmg_d 20 --cmg_threshold 0.1
cora_cmg_d30_deepwalk,cora,cmg,deepwalk,0.767,119.754,1.546,1.372,116.822,0.014,--cmg_k 10 --cmg_d 30 --cmg_threshold 0.1
cora_cmg_d40_deepwalk,cora,cmg,deepwalk,0.755,121.250,1.559,1.392,118.284,0.015,--cmg_k 10 --cmg_d 40 --cmg_threshold 0.1
cora_cmg_d50_deepwalk,cora,cmg,deepwalk,0.77,125.076,1.554,1.402,122.107,0.013,--cmg_k 10 --cmg_d 50 --cmg_threshold 0.1
cora_cmg_thresh0.05_deepwalk,cora,cmg,deepwalk,0.755,122.934,1.522,1.374,120.025,0.013,--cmg_k 10 --cmg_d 20 --cmg_threshold 0.05
cora_cmg_thresh0.1_deepwalk,cora,cmg,deepwalk,0.774,123.299,1.552,1.415,120.319,0.013,--cmg_k 10 --cmg_d 20 --cmg_threshold 0.1
cora_cmg_thresh0.15_deepwalk,cora,cmg,deepwalk,0.752,123.768,1.513,1.372,120.869,0.014,--cmg_k 10 --cmg_d 20 --cmg_threshold 0.15
cora_cmg_thresh0.2_deepwalk,cora,cmg,deepwalk,0.764,124.851,1.534,1.383,121.919,0.014,--cmg_k 10 --cmg_d 20 --cmg_threshold 0.2
cora_cmg_thresh0.25_deepwalk,cora,cmg,deepwalk,0.762,122.386,1.532,1.389,119.453,0.013,--cmg_k 10 --cmg_d 20 --cmg_threshold 0.25
cora_cmg_best_deepwalk,cora,cmg,deepwalk,0.762,123.449,1.544,1.387,120.505,0.013,--cmg_k 10 --cmg_d 20 --cmg_threshold 0.1
cora_cmg_best_node2vec,cora,cmg,node2vec,0.768,58.364,1.528,1.373,55.452,0.013,--cmg_k 10 --cmg_d 20 --cmg_threshold 0.1
citeseer_cmg_best_deepwalk,citeseer,cmg,deepwalk,0.514,165.589,1.798,1.544,162.233,0.014,--cmg_k 10 --cmg_d 20 --cmg_threshold 0.1
citeseer_cmg_best_node2vec,citeseer,cmg,node2vec,0.52,74.536,1.721,1.531,71.277,0.007,--cmg_k 10 --cmg_d 20 --cmg_threshold 0.1
pubmed_cmg_best_deepwalk,pubmed,cmg,deepwalk,0.755,1039.522,20.226,20.111,999.078,0.107,--cmg_k 10 --cmg_d 20 --cmg_threshold 0.1
pubmed_cmg_best_node2vec,pubmed,cmg,node2vec,0.773,490.105,19.640,17.685,452.700,0.081,--cmg_k 10 --cmg_d 20 --cmg_threshold 0.1
